model_name,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
HUBERREGRESSOR,15,34560,2304,2304,0.0,4.947916666666667,4.296875,5.989583333333334,0.456039081130684,4.947916666666667,4.296875,5.989583333333334,0.456039081130684,8,7,1,0.1666666666666666,1.5108551700659048,2.6432303082440293e-05,3.55313173121891,0.4498362740506118,9.08534618457699,0.126018166105061,20.25899033724944,1.6497576323624663,1.0,1,1,0,5.2,2,7,1.514375558880073,7.2,7,8,0.3999999999999999,8.0,8,8,0.0,4.0,4,4,0.0,2.0,2,2,0.0,2.0,2,2,0.0,0.0244245807086129,1151,1151,0.5799151714181009
LinearSVR,20,34560,1728,1728,0.0,4.971064814814815,3.8194444444444446,5.787037037037037,0.4414489014940636,4.971064814814815,3.8194444444444446,5.787037037037037,0.4414489014940636,9,8,1,0.1666666666666666,1.631484690282011,3.976648578129971e-06,3.662585695795505,0.4952957369799527,9.874700240291377,0.1699982176573553,20.4213926037852,1.606353032531343,1.0,1,1,0,5.9,2,8,2.406241883103193,8.0,8,8,0.0,9.0,9,9,0.0,5.0,5,5,0.0,3.0,3,3,0.0,2.0,2,2,0.0,0.0233295421032785,863,863,0.6474466390346325
LinearSVR,5,17280,3456,3456,0.0,5.023148148148148,4.832175925925926,5.208333333333334,0.1412795788858069,5.023148148148148,4.832175925925926,5.208333333333334,0.1412795788858069,6,5,1,0.1666666666666666,0.4084413079990566,0.0249571127855142,0.9261220620333586,0.1353604445774697,0.959549308753768,0.0744565235657601,2.330976398439088,0.1307431890959626,1.0,1,1,0,2.0,1,5,1.5491933384829668,5.2,5,6,0.3999999999999999,5.8,5,6,0.3999999999999999,4.0,4,4,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0568562850809618,0,0,0.5004024235381879
LASSO,10,17280,1728,1728,0.0,4.94212962962963,4.166666666666666,5.671296296296297,0.4652720194963377,4.94212962962963,4.166666666666666,5.671296296296297,0.4652720194963377,6,5,1,0.1666666666666666,0.5006626998768078,0.0376470494410623,1.5392396380647253,0.1567237737012912,1.1511759442095009,0.0004749806993245,4.987481606469905,0.4500962721305672,1.0,1,1,0,1.0,1,1,0.0,5.0,5,5,0.0,6.0,6,6,0.0,4.0,4,4,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0527662346039136,0,0,0.0
LinearSVR,15,17280,1152,1152,0.0,4.965277777777778,3.8194444444444446,6.25,0.691690139792087,4.965277777777778,3.8194444444444446,6.25,0.691690139792087,5,4,1,0.1666666666666666,0.4357222214691553,0.0219728994382658,1.4151256584525336,0.1732590378665419,1.2634948603380889,0.0231664552922077,4.74785806829799,0.3806701483561386,1.0,1,1,0,0.9333333333333332,0,1,0.2494438257849294,4.0,4,4,0.0,5.0,5,5,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0508983896584782,0,0,0.0
HUBERREGRESSOR,20,17280,864,864,0.0,4.947916666666666,3.8194444444444446,6.13425925925926,0.7208288360072842,4.947916666666666,3.8194444444444446,6.13425925925926,0.7208288360072842,4,4,0,0.1666666666666666,0.4238661345640039,0.0,1.727176685072958,0.1083616300883007,1.100385079763796,0.0,6.192696007820027,0.675688427300178,0.05,0,1,0,0.75,0,1,0.4330127018922193,3.05,3,4,0.2179449471770336,3.95,3,4,0.2179449471770336,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0491128185762795,0,0,0.0
LASSO,5,5760,1152,1152,0.0,5.086805555555555,4.427083333333334,5.815972222222222,0.4709951377170324,5.086805555555555,4.427083333333334,5.815972222222222,0.4709951377170324,7,7,0,1.0,1.5382472259520028,0.00063405531257,3.109136315765906,0.3240111429312448,8.091318343329103,0.362949656271796,15.68115060017104,1.5776819426546955,0.0,0,0,0,3.2,1,7,2.712931993250108,6.2,6,7,0.3999999999999999,7.0,7,7,0.0,5.0,5,5,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0749318884739654,1151,1151,0.6730116670092565
HUBERREGRESSOR,5,4606,922,921,0.4,5.210760726457378,4.446854663774404,5.971769815418024,0.5243842001017376,5.210760726457378,4.446854663774404,5.971769815418024,0.5243842001017376,4,4,0,0.5,0.2454585183476246,0.0165298757007672,0.609875950131847,0.08767270387499,0.7733357804833056,0.350363696509731,1.3539047221997689,0.1284705964296677,0.0,0,0,0,0.2,0,1,0.4,4.0,4,4,0.0,4.0,4,4,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.1277325334128258,0,0,0.0
LASSO,5,42046,8410,8409,0.3999999999999999,4.927933931837088,4.6378879771673205,5.196812938518254,0.1836490924059965,4.927933931837088,4.6378879771673205,5.196812938518254,0.1836490924059965,6,5,1,0.1666666666666666,2.018135145557438,0.0563766833857459,3.306128525444373,0.486329932437366,10.461007742630452,0.4483901676280721,18.64158167493747,2.445820564690925,1.0,1,1,0,4.2,1,5,1.6000000000000003,5.0,5,5,0.0,6.0,6,6,0.0,4.0,4,4,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0220848378972278,0,0,0.5004024235381879
LinearSVR,10,42041,4205,4204,0.3,4.952306902095394,4.519505233111323,5.423406279733587,0.2937771108440234,4.952306902095394,4.519505233111323,5.423406279733587,0.2937771108440234,9,8,1,0.1666666666666666,1.385644666695666,1.0246615764044165e-05,3.709449590091576,0.5734701246690497,8.751141177037583,0.8429973780803777,19.44301800708452,1.890434158026971,1.0,1,1,0,7.8,5,9,0.9797958971132712,8.0,8,8,0.0,9.0,9,9,0.0,4.0,4,4,0.0,2.0,2,2,0.0,3.0,3,3,0.0,0.023368826493508,4205,1051,0.3250829733914482
